Date,close,location
2021-01-27,39395.33,United States
2021-01-26,40435.26,United States
2021-01-25,40565.56,United States
2021-01-22,40458.32,United States
2021-01-21,40517.07,United States
2021-01-20,40551.83,United States
2021-01-19,40039.29,United States
2021-01-15,39697.42,United States
2021-01-14,40017.75,United States
2021-01-13,40067.51,United States
2021-01-12,40030.23,United States
2021-01-11,39907.45,United States
2021-01-08,40122.82,United States
2021-01-07,39938.7,United States
2021-01-06,39299.82,United States
2021-01-05,38970.56,United States
2021-01-04,38646.4,United States
2020-12-31,39219.62,United States
2020-12-30,39037.62,United States
2020-12-29,38935.62,United States
2020-12-28,39090.96,United States
2020-12-24,38887.44,United States
2020-12-23,38789.62,United States
2020-12-22,38750.1,United States
2020-12-21,38741.41,United States
2020-12-18,38854.83,United States
2020-12-17,38947.55,United States
2020-12-16,38650.25,United States
2020-12-15,38602.35,United States
2020-12-14,38085.78,United States
2020-12-11,38201.7,United States
2020-12-10,38271.49,United States
2020-12-09,38213.66,United States
2020-12-08,38576.35,United States
2020-12-07,38419.62,United States
2020-12-04,38454.3,United States
2020-12-03,38058.13,United States
2020-12-02,38009.72,United States
2020-12-01,37967.7,United States
2020-11-30,37581.62,United States
2020-11-27,37799.36,United States
2020-11-25,37664.73,United States
2020-11-24,37689.39,United States
2020-11-23,37108.09,United States
2020-11-20,36819.46,United States
2020-11-19,37018.95,United States
2020-11-18,36817.21,United States
2020-11-17,37196.86,United States
2020-11-16,37288.44,United States
2020-11-13,36830.0,United States
2020-11-12,36334.56,United States
2020-11-11,36699.62,United States
2020-11-10,36414.89,United States
2020-11-09,36439.86,United States
2020-11-06,36050.46,United States
2020-11-05,36071.16,United States
2020-11-04,35339.61,United States
2020-11-03,34612.51,United States
2020-11-02,33962.43,United States
2020-10-30,33541.92,United States
2020-10-29,34001.6,United States
2020-10-28,33618.19,United States
2020-10-27,34799.18,United States
2020-10-26,34918.18,United States
2020-10-23,35587.9,United States
2020-10-22,35450.68,United States
2020-10-21,35227.23,United States
2020-10-20,35343.82,United States
2020-10-19,35212.38,United States
2020-10-16,35759.58,United States
2020-10-15,35778.99,United States
2020-10-14,35799.78,United States
2020-10-13,36031.93,United States
2020-10-12,36224.12,United States
2020-10-09,35696.38,United States
2020-10-08,35391.94,United States
2020-10-07,35104.71,United States
2020-10-06,34492.15,United States
2020-10-05,34928.13,United States
2020-10-02,34283.4,United States
2020-10-01,34567.89,United States
2020-09-30,34305.78,United States
2020-09-29,34044.38,United States
2020-09-28,34202.2,United States
2020-09-25,33631.59,United States
2020-09-24,33074.37,United States
2020-09-23,33005.83,United States
2020-09-22,33834.81,United States
2020-09-21,33503.78,United States
2020-09-18,33916.43,United States
2020-09-17,34252.51,United States
2020-09-16,34547.98,United States
2020-09-15,34666.0,United States
2020-09-14,34472.92,United States
2020-09-11,33949.24,United States
2020-09-10,33957.0,United States
2020-09-09,34527.94,United States
2020-09-08,33848.56,United States
2020-09-04,34848.03,United States
2020-09-03,35138.18,United States
2020-09-02,36434.12,United States
2020-09-01,35940.29,United States
2020-08-31,35661.56,United States
2020-08-28,35720.4,United States
2020-08-27,35479.64,United States
2020-08-26,35403.5,United States
2020-08-25,35078.17,United States
2020-08-24,34957.74,United States
2020-08-21,34626.02,United States
2020-08-20,34543.22,United States
2020-08-19,34444.28,United States
2020-08-18,34593.1,United States
2020-08-17,34548.01,United States
2020-08-14,34408.67,United States
2020-08-13,34422.43,United States
2020-08-12,34467.13,United States
2020-08-11,34007.95,United States
2020-08-10,34277.41,United States
2020-08-07,34194.1,United States
2020-08-06,34158.02,United States
2020-08-05,33987.45,United States
2020-08-04,33734.57,United States
2020-08-03,33609.09,United States
2020-07-31,33323.8,United States
2020-07-30,33141.9,United States
2020-07-29,33257.02,United States
2020-07-28,32804.16,United States
2020-07-27,33040.36,United States
2020-07-24,32761.21,United States
2020-07-23,33005.55,United States
2020-07-22,33387.86,United States
2020-07-21,33200.9,United States
2020-07-20,33132.24,United States
